Team,Quarter,Touchdowns
ARI,1,9
ARI,2,16
ARI,3,17
ARI,4,14
ATL,1,7
ATL,2,12
ATL,3,7
ATL,4,14
ATL,5,0
BAL,1,7
BAL,2,9
BAL,3,8
BAL,4,11
BAL,5,0
BUF,1,12
BUF,2,11
BUF,3,9
BUF,4,13
CAR,1,11
CAR,2,20
CAR,3,16
CAR,4,10
CAR,5,0
CHI,1,6
CHI,2,17
CHI,3,3
CHI,4,14
CHI,5,0
CIN,1,12
CIN,2,17
CIN,3,13
CIN,4,13
CIN,5,0
CLE,1,7
CLE,2,7
CLE,3,5
CLE,4,10
CLE,5,0
DAL,1,4
DAL,2,10
DAL,3,4
DAL,4,13
DEN,1,6
DEN,2,11
DEN,3,8
DEN,4,12
DEN,5,1
DET,1,10
DET,2,12
DET,3,7
DET,4,12
DET,5,0
GB,1,12
GB,2,6
GB,3,13
GB,4,14
HOU,1,6
HOU,2,9
HOU,3,10
HOU,4,15
IND,1,6
IND,2,10
IND,3,7
IND,4,13
IND,5,0
JAC,1,3
JAC,2,13
JAC,3,12
JAC,4,20
JAC,5,0
KC,1,10
KC,2,13
KC,3,6
KC,4,13
MIA,1,5
MIA,2,15
MIA,3,8
MIA,4,9
MIN,1,8
MIN,2,8
MIN,3,10
MIN,4,9
MIN,5,0
NE,1,11
NE,2,16
NE,3,11
NE,4,17
NE,5,0
NO,1,14
NO,2,13
NO,3,8
NO,4,16
NO,5,1
NYG,1,7
NYG,2,15
NYG,3,8
NYG,4,16
NYG,5,0
NYJ,1,8
NYJ,2,14
NYJ,3,13
NYJ,4,13
NYJ,5,1
OAK,1,8
OAK,2,15
OAK,3,10
OAK,4,12
OAK,5,0
PHI,1,8
PHI,2,10
PHI,3,12
PHI,4,11
PHI,5,1
PIT,1,5
PIT,2,15
PIT,3,7
PIT,4,16
PIT,5,0
SD,1,6
SD,2,12
SD,3,8
SD,4,14
SD,5,0
SEA,1,9
SEA,2,15
SEA,3,13
SEA,4,11
SEA,5,0
SF,1,3
SF,2,9
SF,3,3
SF,4,10
SF,5,1
STL,1,8
STL,2,8
STL,3,8
STL,4,7
STL,5,0
TB,1,6
TB,2,13
TB,3,8
TB,4,11
TB,5,0
TEN,1,8
TEN,2,11
TEN,3,12
TEN,4,9
TEN,5,1
WAS,1,14
WAS,2,13
WAS,3,6
WAS,4,12
WAS,5,1
,1,0
,2,0
,3,0
,4,0
,5,0
